Activo,dt_revision,Estado,version,Codificacion,Nombre comercial,pvp,Genes,Espe. principal,Especialidades,review,Espe. notas,sharepoint
SI,2023-09-18 00:00:00,APPROVED,4.0,EXN1198,ExoNIM® Dirigido Cardiomiopatía hipertrófica (HCM),1150,"ACTC1, ACTN2, ALPK3, ANKRD1, CACNA1C, CALR3, CAV3, CSRP3, FHL1, FHOD3, FLNC, GLA, JPH2, KLHL24, LAMP2, LDB3, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYLK2, MYOZ2, MYPN, NEXN, PDLIM3, PLN, PRKAG2, RYR2, TCAP, TNNC1, TNNI3, TNNT2, TPM1, TRIM63, TTN, TTR, VCL",Cardiología(1),Cardiología,CARDIOLOGÍA,,https://nimgenetics.sharepoint.com/:x:/r/sites/DDocumentacion2/Catlogo%20Corporativo/Revisiones%20alcance%20flexible/Cardiologia/V3_EXN1198_ExoNIM%C2%AE%20Dirigido%20Cardiomiopat%C3%ADa%20hipertr%C3%B3fica%20(HCM).xlsx?d=w1c57e90b05d64fb789cebf59d3efee95&csf=1&web=1&e=NGQVrj
SI,2023-09-12 00:00:00,APPROVED,1.0,EXN3014,ExoNIM® HSM Síndrome de QT Largo,0,"CACNA1C, CALM1, CALM2, CALM3, KCNE1, KCNE2, KCNH2, KCNJ2, KCNQ1, SCN5A, TECRL, TRDN",-(1),-,,,
SI,2023-09-12 00:00:00,APPROVED,1.0,EXN3015,ExoNIM® HSM aneurisma o disección de la aorta torácica,0,"ABL1, ACTA2, ADAMTSL4, ARIH1, BGN, CBS, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, EFEMP2, ELN, FBLN5, FBN1, FBN2, FLCN, FLNA, IPO8, LOX, MYH11, MYLK, NOTCH1, PLOD1, PRKG1, SKI, SLC2A10, SMAD2, SMAD3, SMAD4, TGFB2, TGFB3, TGFBR1, TGFBR2",-(1),-,,,
SI,2023-09-12 00:00:00,APPROVED,1.0,EXN3016,ExoNIM® HSM Telangiectasia hemorragica hereditaria,0,"ACVRL1, BMPR2, ENG, EPHB4, GDF2, RASA1, SMAD4",-(1),-,,,
SI,2023-09-12 00:00:00,APPROVED,1.0,EXN3017,ExoNIM® HSM Hipercolesterolemia familiar,0,"ABCG5, ABCG8, APOB, APOE, CYP27A1, LDLR, LDLRAP1, LIPA, PCSK9",-(1),-,,,
SI,2023-09-12 00:00:00,APPROVED,1.0,EXN3018,ExoNIM® HSM Hipertrigliceridemia severa/Hipercolesteromia familiar,0,"ABCG5, ABCG8, APOA5, APOB, APOC2, APOE, CREB3L3, CYP27A1, GPD1, GPIHBP1, LDLR, LDLRAP1, LIPA, LMF1, LPL, PCSK9",-(1),-,,,
SI,2023-08-14 00:00:00,APPROVED,2.0,EXN1024,ExoNIM® Dirigido a Discinesia Ciliar Primaria,1150,"BRWD1, CCDC103, CCDC39, CCDC40, CCDC65, CCNO, CFAP298, CFAP300, CFAP74, DNAAF1, DNAAF11, DNAAF2, DNAAF3, DNAAF4, DNAAF5, DNAAF6, DNAH1, DNAH11, DNAH5, DNAH7, DNAH9, DNAI1, DNAI2, DNAJB13, DNAL1, DRC1, FOXJ1, GAS2L2, GAS8, HYDIN, LRRC56, MCIDAS, NEK10, NME5, NME8, ODAD1, ODAD2, ODAD4, RSPH1, RSPH3, RSPH4A, RSPH9, SPAG1, STK36, TP73, TTC12, ZMYND10",Neumología(1),Neumología,,,https://nimgenetics.sharepoint.com/:x:/r/sites/DDocumentacion2/Catlogo%20Corporativo/Revisiones%20alcance%20flexible/Otros/EXN1024_ExoNIM%C2%AE%20Dirigido%20a%20Discinesia%20Ciliar%20Primaria.xlsx?d=w59db414769bb41a8bdf7b073b5df80d0&csf=1&web=1&e=n8g0tE
SI,2023-08-07 00:00:00,APPROVED,1.0,EXN3013,ExoNIM® HSM Miocardiopatia,0,"ABCC9, ACTC1, ACTN2, ALPK3, ANK2, ANKRD1, ATAD3A, BAG3, CACNA1C, CDH2, CRYAB, CSRP3, DES, DMD, DSC2, DSG2, DSP, EPG5, EYA4, FHL1, FHOD3, FKTN, FLNC, GATAD1, GLA, GYG1, HAMP, HFE, HJV, IDH2, JPH2, JUP, LAMP2, LDB3, LMNA, MT-TI, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYLK2, MYPN, NEXN, PKP2, PLN, PPP1R13L, PRDM16, PRKAG2, PSEN1, PSEN2, RBM20, RPS6KB1, SCN1B, SCN5A, SGCD, SLC40A1, SPEG, TAFAZZIN, TCAP, TFR2, TMEM43, TNNC1, TNNI3, TNNT2, TPM1, TRIM63, TTN, TTR, TULP3, VCL",-(1),-,,,
SI,2023-07-31 00:00:00,APPROVED,1.0,EXN3003,ExoNIM® HSM miocardiopatía hipertófica,0,"ACTC1, ACTN2, ALPK3, ATAD3A, CACNA1C, CSRP3, FHL1, FHOD3, FLNC, GLA, GYG1, JPH2, LAMP2, MT-TI, MYBPC3, MYH7, MYL2, MYL3, MYLK2, MYPN, PLN, PRKAG2, RPS6KB1, TNNC1, TNNI3, TNNT2, TPM1, TRIM63, TTR, TULP3",-(1),-,,,
SI,2023-07-31 00:00:00,APPROVED,1.0,EXN3004,ExoNIM® HSM miocardiopatía dilatada,0,"ABCC9, ACTC1, ACTN2, ANKRD1, BAG3, CRYAB, CSRP3, DES, DMD, DSP, EPG5, EYA4, FKTN, FLNC, GATAD1, HAMP, HFE, HJV, IDH2, LDB3, LMNA, MYBPC3, MYH6, MYH7, MYPN, NEXN, PLN, PPP1R13L, PRDM16, PSEN1, PSEN2, RBM20, SCN1B, SCN5A, SGCD, SLC40A1, SPEG, TAFAZZIN, TCAP, TFR2, TNNC1, TNNI3, TNNT2, TPM1, TTN, VCL",-(1),-,,,
SI,2023-07-31 00:00:00,APPROVED,1.0,EXN3007,ExoNIM® HSM miocardiopatía arritmogénica,0,"ANK2, CDH2, DES, DSC2, DSG2, DSP, FLNC, JUP, LMNA, PKP2, PLN, TMEM43",-(1),-,,,
SI,2023-07-31 00:00:00,APPROVED,1.0,EXN3008,ExoNIM® HSM Brugada,0,"KCNH2, SCN5A",-(1),-,,,
SI,2023-07-31 00:00:00,WAIT,1.0,EXN3009,ExoNIM® HSM Aortopatías,0,"ABL1, ACTA2, ADAMTSL4, ARIH1, BGN, CBS, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, EFEMP2, ELN, FBLN5, FBN1, FBN2, FLCN, FLNA, IPO8, LOX, MYH11, MYLK, NOTCH1, PLOD1, PRKG1, SKI, SLC2A10, SMAD2, SMAD3, SMAD4, TGFB2, TGFB3, TGFBR1, TGFBR2",-(1),-,,,
